feature,score,normalized_score,importance,normalized_importance,combined_score
x383,61.334645250448304,0.22404737739826164,0.0009351938932332352,0.0035346062025492214,0.11379099180040543
x218,62.1098543612493,0.22687911413532105,0.00015545600563707796,0.0005875527692430136,0.11373333345228204
x769,60.20419445973509,0.21991798961256748,0.00042833891357065885,0.001618925649167445,0.11076845763086746
x87,58.980255772875275,0.21544710286059413,0.0011907944842703064,0.0045006598102469795,0.10997388133542055
x437,59.48048069501945,0.2172743585895222,0.0006742685382382027,0.002548427416694182,0.10991139300310819
x414,58.44930655948731,0.21350761534410972,0.0009549603988154683,0.0036093145745127457,0.10855846495931123
x113,53.82980321853038,0.19663317832409055,0.0036050677176270823,0.01362551103844377,0.10512934468126717
x27,54.67145156386173,0.19970760883058636,0.002091579898603063,0.007905217662585702,0.10380641324658603
x2,55.079727291197116,0.20119898626647675,0.0014972883160817984,0.005659066646308083,0.10342902645639242
x558,55.85041183709534,0.20401419536412138,0.000699073243478972,0.0026421778845178235,0.1033281866243196
x696,53.59542250430883,0.19577701645799275,0.0012411674910161796,0.004691046791356802,0.10023403162467477
x644,51.79336096523921,0.18919432310270884,0.0023483906576355178,0.008875845153125896,0.09903508412791737
x230,52.667491581167575,0.1923874070636998,0.0013307979577420928,0.005029809058646098,0.09870860806117296
x690,52.96509667438944,0.19347451925558515,0.0005412921464526554,0.0020458373307251443,0.09776017829315514
x479,53.19639516000931,0.19431942214672793,0.0001548352334144578,0.0005852065334898506,0.09745231434010888
x77,52.147928846897045,0.19048951285510274,0.0009376762602450383,0.003543988417189854,0.0970167506361463
x40,50.60941988695819,0.1848695423446267,0.00011048664415955648,0.00041758910165148026,0.0926435657231391
x431,49.93702446389171,0.18241337046171296,0.0002789585032791393,0.001054335858134592,0.09173385315992377
x358,48.637145021913,0.17766508213755222,0.0012985209901025473,0.004907816848427757,0.09128644949298999
x263,48.868599458289644,0.1785105546962608,0.0005481745269680325,0.002071849588754174,0.09029120214250748
x245,48.31320440213609,0.1764817697372371,0.0008666407919041374,0.0032755067591984047,0.08987863824821775
x520,48.52802143384111,0.17726646804889215,0.0005972800789071632,0.0022574461690136717,0.0897619571089529
x278,48.1917996484838,0.17603829416892802,0.00020797860434990982,0.0007860642271638358,0.08841217919804593
x374,46.94282511130304,0.17147595475455746,0.000337823406212054,0.0012768183321163243,0.08637638654333689
x402,46.83880221558621,0.17109597282298253,0.00035898108282679455,0.0013567846958138486,0.08622637875939819
x248,46.71925298092804,0.17065927522106827,0.00031151728954454197,0.0011773932141693855,0.08591833421761882
x15,44.354769250094385,0.16202212770629945,0.001608504923855651,0.006079414677350993,0.08405077119182522
x636,45.006477343147615,0.16440273149852128,0.0008382538716004463,0.0031682171529438083,0.08378547432573254
x312,45.08670375621022,0.1646957880144814,0.0007268313088749572,0.0027470907061576317,0.08372143936031952
x342,44.69582166101945,0.16326794722495977,0.0006574536232358245,0.0024848747103593887,0.08287641096765958
x731,43.59679537197662,0.1592533490032477,0.0009724003984113459,0.0036752298153949607,0.08146428940932132
x677,43.13636291222763,0.157571449896233,0.0009681050849054114,0.0036589954902247223,0.08061522269322886
x69,43.063254474557986,0.15730439440649008,0.0005963090008329285,0.0022537759369803093,0.0797790851717352
x713,43.170604822414745,0.15769653108229356,0.000470085455495187,0.001776708529369185,0.07973661980583137
